wayland 1.4.0-1
webkitgtk 2.2.4-2
webkitgtk2 1.10.2-8
wget 1.15-1
which 2.20-6
wireless_tools 30.pre9-1
wmctrl 1.07-3
wpa_actiond 1.4-2
wpa_supplicant 2.0-4
xautolock 2.2-3
xbitmaps 1.1.1-2
xcb-proto 1.10-1
xcb-util 0.3.9-1
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-user-dirs 0.15-1
xdg-utils 1.1.0.git20140207-1
xextproto 7.3.0-1
xf86-input-acecad 1.5.0-6
xf86-input-aiptek 1.4.1-6
xf86-input-evdev 2.8.2-1
xf86-input-joystick 1.6.2-2
xf86-input-keyboard 1.8.0-1
xf86-input-mouse 1.9.0-1
xf86-input-synaptics 1.7.2-1
xf86-input-void 1.4.0-5
xf86-input-wacom 0.23.0-1
xf86dgaproto 2.1-2
xf86vidmodeproto 2.3.1-2
xfce4-notifyd 0.2.4-1
xfconf 4.10.0-3
xfsprogs 3.1.11-2
xineramaproto 1.2.1-2
xinetd 2.3.15-4
xkeyboard-config 2.11-2
xlockmore 5.43-1
xorg-bdftopcf 1.0.4-1
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.6-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.1-1
xorg-server 1.14.5-11
xorg-server-common 1.14.5-11
xorg-server-utils 7.6-3
xorg-sessreg 1.0.8-1
xorg-setxkbmap 1.3.0-1
xorg-twm 1.0.8-1
xorg-utils 7.6-8
xorg-xauth 1.0.8-1
xorg-xbacklight 1.2.0-1
xorg-xcmsdb 1.0.4-1
xorg-xdpyinfo 1.3.1-1
xorg-xdriinfo 1.0.4-3
xorg-xev 1.2.1-1
xorg-xgamma 1.0.5-1
xorg-xhost 1.0.6-1
xorg-xinit 1.3.3-3
xorg-xinput 1.6.1-1
xorg-xkbcomp 1.2.4-1
xorg-xlsatoms 1.1.1-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.8-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.4.1-1
xorg-xrdb 1.1.0-1
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-1
xorg-xvinfo 1.1.2-1
xorg-xwininfo 1.1.3-1
xproto 7.0.25-1
xterm 301-1
xz 5.0.5-2
zd1211-firmware 1.4-6
zip 3.0-3
zlib 1.2.8-3
